"지역별(1)",지역별(2),지역별(3),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"지역별(1)",지역별(2),지역별(3),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"지역별(1)",지역별(2),지역별(3),소계,소계,자전거 전용도로,자전거 전용도로,자전거보행자 겸용도로,자전거보행자 겸용도로,자전거 전용차로,자전거 전용차로,자전거우선도로,자전거우선도로,소계,소계,자전거 전용도로,자전거 전용도로,자전거보행자 겸용도로,자전거보행자 겸용도로,자전거 전용차로,자전거 전용차로,자전거우선도로,자전거우선도로,소계,소계,자전거 전용도로,자전거 전용도로,자전거보행자 겸용도로,자전거보행자 겸용도로,자전거 전용차로,자전거 전용차로,자전거우선도로,자전거우선도로,소계,소계,자전거 전용도로,자전거 전용도로,자전거보행자 겸용도로,자전거보행자 겸용도로,자전거 전용차로,자전거 전용차로,자전거우선도로,자전거우선도로,소계,소계,자전거 전용도로,자전거 전용도로,자전거보행자 겸용도로,자전거보행자 겸용도로,자전거 전용차로,자전거 전용차로,자전거우선도로,자전거우선도로
"지역별(1)",지역별(2),지역별(3),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km)
"합계",도로변,영등포구,42,36.3,7,3.7,10,4.9,12,12.2,13,15.5,43,36.6,7,3.3,10,5.0,12,12.4,14,15.9,47,37.0,6,3.2,12,5.0,14,12.6,15,16.2,82,63.8,8,5.1,15,6.7,30,20.3,29,31.7,91,63.3,7,4.2,19,7.3,36,20.0,29,31.8
"합계",도로변,동작구,13,11.5,-,-,12,11.2,-,-,1,0.3,14,13.4,-,-,13,13.1,-,-,1,0.3,15,13.4,-,-,14,13.1,-,-,1,0.3,17,13.9,-,-,15,13.1,-,-,2,0.8,17,14.3,0,0.0,15,13.6,0,0.0,2,0.8
"합계",도로변,관악구,15,19.4,1,2.9,5,12.2,-,-,9,4.3,15,19.5,1,3.0,5,12.2,-,-,9,4.3,15,19.5,1,3.0,5,12.2,-,-,9,4.3,19,29.5,3,4.7,8,21.4,-,-,8,3.4,19,27.7,3,4.7,8,19.6,0,0.0,8,3.4
"합계",도로변,서초구,21,21.2,-,-,19,18.8,2,2.4,-,-,23,23.5,-,-,20,19.0,3,4.5,-,-,28,29.0,1,2.1,25,24.5,2,2.4,-,-,44,37.4,2,2.2,38,30.7,4,4.5,-,-,46,40.8,1,2.1,41,34.6,4,4.1,0,0.0
"합계",도로변,강남구,26,52.5,3,4.4,23,48.1,-,-,-,-,27,52.6,3,3.1,22,48.0,2,1.5,-,-,26,52.6,3,3.1,21,48.0,2,1.5,-,-,65,90.0,7,11.9,54,75.1,4,3.0,-,-,78,98.6,7,8.2,67,87.4,4,3.0,0,0.0
"합계",도로변,송파구,50,83.4,12,30.9,37,50.6,1,1.9,-,-,50,91.7,12,22.0,37,67.8,1,1.9,-,-,51,92.6,12,22.0,38,68.7,1,1.9,-,-,186,97.1,44,19.4,140,75.9,2,1.8,-,-,186,97.2,43,19.2,141,76.2,2,1.8,0,0.0
"합계",도로변,강동구,33,38.2,5,5.0,28,33.2,-,-,-,-,33,40.8,5,7.2,27,33.0,1,0.6,-,-,33,42.1,5,8.5,27,33.0,1,0.6,-,-,66,72.0,17,17.5,48,53.9,1,0.6,-,-,93,74.1,18,17.5,74,56.0,1,0.6,0,0.0
"합계",기타,소계,62,274.1,12,30.3,50,243.8,-,-,-,-,58,277.0,17,50.9,41,226.1,-,-,-,-,62,277.9,15,50.3,47,227.6,-,-,-,-,64,280.3,15,44.3,49,236.1,-,-,-,-,63,281.0,12,32.1,51,248.9,0,0.0,0,0.0
"합계",기타,교량,8,7.3,1,1.1,7,6.2,-,-,-,-,8,7.3,1,1.1,7,6.2,-,-,-,-,8,6.6,1,1.1,7,5.5,-,-,-,-,10,8.9,1,1.1,9,7.8,-,-,-,-,10,8.9,1,1.1,9,7.8,0,0.0,0,0.0
"합계",기타,하천,49,260.8,9,25.5,40,235.3,-,-,-,-,45,263.7,14,46.1,31,217.6,-,-,-,-,49,265.3,12,45.5,37,219.8,-,-,-,-,50,266.2,12,39.5,38,226.8,-,-,-,-,49,266.9,10,30.2,39,236.7,0,0.0,0,0.0
"합계",기타,공원,5,6.0,2,3.7,3,2.3,-,-,-,-,5,6.0,2,3.7,3,2.3,-,-,-,-,5,6.0,2,3.7,3,2.3,-,-,-,-,4,5.2,2,3.7,2,1.5,-,-,-,-,4,5.2,1,0.8,3,4.4,0,0.0,0,0
